course_name,related_url,application_link,detail
Refresher Training on Anti-Money Laundering and Counter-Financing of Terrorism for 2024,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Artificial Intelligence (AI) Leadership for Insurance and Financial Professionals 保險和金融專業人士的人工智能領導力 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
An Overview of the Cross-Border Wealth Management Product Market 跨境理財產品市場面面觀系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
From Workplace to Family (Insurance and Financial Professionals) 從職場到家庭 (保險和金融專才系列) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Staff Awareness Programme 2024 (eCPD) - Information Security,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Speaking to Impress Series (Insurance and Financial Professionals) 專業演講技巧系列 (保險及金融專業人士) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Ethics and Compliance 道德與合規 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Investment Decoding 投資解碼 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Mainland Policies 國策通識 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Innovate for Impact 創新影響力 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Professional Risk Management 專業風險管理 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Winning at the Finish Line: Planning and Legacy Series 贏在終點線-規劃與傳承系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Seizing Financial Services Opportunities in Greater Bay Area (GBA) 把握大灣區金融服務機遇 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Basic Law Article 23 Legislation: Safeguarding National Security Ordinance and Financial Stability and Security in Hong Kong (eCPD) 《基本法》第二十三條立法：《維護國家安全條例》與香港金融穩定安全 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Investment Theory of Relativity 投資相對論 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
The role of Artificial Intelligence (AI) in Finance & International 人工智能 (AI) 在金融與國際事務中的角色 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
AI + Social Media: Leadership Strategies for the New Era 人工智能 + 社交媒體：新時代領導策略 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
AI in Finance: Balancing Innovation with Ethical Governance 人工智能與金融：創新與道德治理的平衡 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Data-Driven Personalization in Finance and Insurance 數據驅動的金融與保險個人化服務 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Law Relating to Asset Protection 資產保障相關法律 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Boost your work competence with NLP 「身心語言程式學」工作坊 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Health Insurance 健康保險 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
"""Communicating without Talking"" for Financial Professionals 「不言而喻」的奧妙 - 保險從業員工作坊 *",N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Business Networking Workshop for Insurance Practitioners 商務人際網絡的建立 - 保險從業員工作坊 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Travel Insurance 旅遊保險 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Selling Genius Workshop (Insurance & Investment Professionals) 銷售奇才研習坊(保險及投資專業人士) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
DISC Profiling for Business and Personal Enhancement (Insurance & Investment Professionals) Workshop DISC性格創富[保險及投資專業人士]學習坊 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Persuasion Skills for Financial Professionals 說服技巧（金融服務業專才） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Boost your work competence with NLP (Module 5-8) 「身心語言程式學」工作坊（單元 5-8） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Know Your Customers' Investment Psychology 客戶投資心理解說 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Sales Essentials for Financial Professionals 銷售要訣(財經專才系列) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Strengthening Your Influential Power Course 強化影響力課程 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
MPF Training Programme 強積金培訓 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Life and Medical Insurance 壽險及醫療險 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Mind Management Series - Stress Management 心靈管理系列 - 壓力管理 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Legacy Planning and Legacyology 傳承規劃和傳承學 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Advanced Management Skills for Financial Professionals 金融專業管理技巧 (進階課程) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
New Trend of Insurance Market 保險市場新趨勢 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
明日之星同學會培訓課程系列一 Future Star Club Training Series I *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
FOCUS: Target Recruitment Workshop 定焦攻略: 目標市場招募法 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Financial Leadership and Agency Management Essentials 201 金融領袖培育及團隊管理課程201 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Essential Management Skills Program 營業管理技巧工作坊 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Leadership Essential Program 領袖發展課程 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Financial Planner Professional Training Series 專業財策顧問培訓系列 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Medical and Critical Illness Knowledge Booster 危疾醫療多面睇 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Compliance Training Program 合規培訓課程 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Annual Compliance Refresher Program 周年法規課程,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Future Star Club Training Series (Enhanced Version) 明日之星同學會培訓課程（加強版） *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Recruitment Skill Workshop Plus 招募新星工作坊 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Understanding our Selling and Recruiting Strength on DISC *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
ILAS Selling Series 投連銷售系列 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
HNW Business Development Series 高端業務拓展系列 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Claims So Easy 理賠就係咁簡單,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Future Star Club Training Series 3 明日之星同學會培訓課程系列三 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Life Planner Quick Start Training 人生規劃師快速起步培訓 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
團隊管理與發展課程 101 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
NextGen Agency Leadership Dynamics 201 戰略團隊管理課程201 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Industry Elite Kickstart Training 行業精英快速啟動課程 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: No"
Insurance Intermediaries Qualifying Examination Workshop - Investment-linked Long Term Insurance Examination 保險中介人資格考試研習班 – 投資相連長期保險考試 *,N/A,N/A,"Provider: Chow Tai Fook Life Insurance Company Limited, Hours: Yes"
Planning Your Life with Protection and Retirement *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: Yes"
Planning your life with Protection and Retirement *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: nan"
Business Ethics and Regulations 商業道德與法規 *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: nan"
High-Impact Productivity and People Management Training for Insurance Intermediaries *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: nan"
Health and Insurance 健康與保險 *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: Yes"
The Key to Success - Personal Development and Effective Workplace Communication Training for Insurance Intermediaries *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: nan"
Developing the Leader within YOU *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: nan"
The Laws of Leadership N/A *,N/A,N/A,"Provider: China Everbright Securities International Company Limited, Hours: nan"
Workshop for Employer Scheme Selling 僱主計劃銷售培訓 ,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Risk Management Workshop 管‘你’風險工作坊,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Cross Selling Sales Workshop,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Target Saving Selling Workshop,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Fact and Feeling Finding Workshop 搵出勝券工作坊,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Group Life and Medical Insurance Seminar 團體人壽及醫療保障講座 ,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Client Service Sales Workshop 客服取勝工作坊,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Closing Skills Workshop 致勝成交技巧工作坊,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Compliance Workshop 中介人監管守則專題研習坊 *,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Intermediaries Compliance Workshop (E-learning) 中介人監管守則專題研習坊 (電子學習) *,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: nan"
Sales Skills Enhancement Workshop for Financial Planners 理財顧問營銷技巧提升工作坊,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Cybersecurity Risks and Best Practices at Work *,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: nan"
SunLife Financial Planner Professional Training Series *,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Leadership Certification Program I 初級管理認證課程,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: No"
Leadership Certification Program II 中級管理認證課程,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: No"
Leadership Certification Program III 高級管理認證課程,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: No"
Current Development in Healthcare and Overseas Taxation Planning 醫療保健及海外稅務規劃近期發展 *,N/A,N/A,"Provider: Sun Life Hong Kong Limited, Hours: Yes"
Wealth Management Program (WMP) 財富管理課程 *,N/A,N/A,"Provider: BOC Group Life Assurance Company Limited, Hours: nan"
Sales Cycle (SC) 銷售循環課程 *,N/A,N/A,"Provider: BOC Group Life Assurance Company Limited, Hours: nan"
Recruitment Training Program (RTP) 團隊發展實戰篇 *,N/A,N/A,"Provider: BOC Group Life Assurance Company Limited, Hours: nan"
MPF CPD Core Activity 強積金持續專業進修核心活動 *,N/A,N/A,"Provider: BOC Group Life Assurance Company Limited, Hours: Yes"
Compliance Training (CPL) 銷售合規及操守 *,N/A,N/A,"Provider: BOC Group Life Assurance Company Limited, Hours: nan"
MPFPA Closing Workshop 強積金成交工作坊,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Group Insurance Quick Workshop 團體保險速成工作坊,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability) , Hours: nan"
Sales Conduct and Risk Management: Recent Update 2025,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: Yes"
Compliance Refresher Training on Selling of Investment Products,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: nan"
Advanced Consultative Skills,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: No"
Design Thinking for Workplace Innovation,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: No"
Design Thinking for Creative Problem Solving,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: No"
The Power of Growth Mindset 2023,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: nan"
Building Sales Relationship ,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: No"
Peace of Mind in Retirement and Estate Planning 2025 *,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: nan"
Training on The eMPF Platform for MPF Intermediaries *,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: Yes"
Conduct Issues and Development of the MPF System for MPF Intermediaries 強積金中介人操守及強積金制度發展 *,N/A,N/A,"Provider: The Bank of East Asia Ltd, Hours: Yes"
Conduct Issues and Development of the MPF System for MPF Intermediaries (2024) 強積金中介人操守及強積金制度發展 (2024),N/A,N/A,"Provider: Principal Investment & Retirement Services Limited, Hours: Yes"
專業財富管理 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
金融財務管理應用 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
把握新時代下的銷售商機 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
金融市場發展及高效溝通技巧 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
團隊管理實務技巧 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
高效啟導,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: nan"
金融市場與網絡經濟的發展及機遇 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
財富管理專業服務及知識 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
保險從業員應有的業務知識 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: nan"
保險從業員應有的道德、操守及規例知識 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: nan"
強積金中介人應有的道德、操守及規例知識 *,N/A,N/A,"Provider: China Life Insurance (Overseas) Company Limited, Hours: Yes"
香港保險中介人商會持續專業發展課程 *,N/A,N/A,"Provider: Hong Kong Chamber of Insurance Intermediaries, Hours: Yes"
Certificate in Financial Consulting (Executive Program) 資深財務策劃顧問證書課程,N/A,N/A,"Provider: International Association of Registered Financial Consultants HK and Macau Centre Company Limited, Hours: No"
Executive Certificate in Contemporary Financial Planning Program 當代財務策劃行政證書課程,N/A,N/A,"Provider: International Association of Registered Financial Consultants HK and Macau Centre Company Limited, Hours: No"
Enhancing your knowledge on General Insurance and Risk Management *,N/A,N/A,"Provider: Zurich Insurance Company Limited, Hours: Yes"
Best Practice in handling referral business from an introducer & Code of Insurance Intermediaries *,N/A,N/A,"Provider: Zurich Insurance Company Limited, Hours: Yes"
Issues in General Insurance and Insurance Practice 一般保險及實踐之論題 *,N/A,N/A,"Provider: Heepon Company Limited, Hours: Yes"
Issues around Benefits and Insurances of the Person 人身保險及利益之論題 *,N/A,N/A,"Provider: Heepon Company Limited, Hours: Yes"
Issues around Insurance and Ethics 保險與道德守則之論題 *,N/A,N/A,"Provider: Heepon Company Limited, Hours: Yes"
保險從業員道德與法規系列,N/A,N/A,"Provider: CPD Centre, Hours: No"
投資管理專題 *,N/A,N/A,"Provider: CPD Centre, Hours: No"
Financial Planner Development Program 理財顧問事業發展課程 *,N/A,N/A,"Provider: Tahoe Life Insurance Company Limited, Hours: Yes"
Basic Knowledge of Investment-linked Long Term Insurance Series 投資相連長期保險基礎系列 *,N/A,N/A,"Provider: Tahoe Life Insurance Company Limited, Hours: Yes"
保險業之專業道德及合規課程 The Professional Ethics and Regulations of Insurance Industry,N/A,N/A,"Provider: Tahoe Life Insurance Company Limited, Hours: Yes"
投資合規,N/A,N/A,"Provider: Bank of China (Hong Kong) Limited, Hours: Yes"
分行合規,N/A,N/A,"Provider: Bank of China (Hong Kong) Limited, Hours: Yes"
客盤管理與關係深化,N/A,N/A,"Provider: Bank of China (Hong Kong) Limited, Hours: Yes"
季度投資市場分析講座 *,N/A,N/A,"Provider: Bank of China (Hong Kong) Limited, Hours: Yes"
一般保險系列 *,N/A,N/A,"Provider: Hong Kong Insurance Intermediaries Association Ltd, Hours: Yes"
Personal Insurance Series 個人保險系列 *,N/A,N/A,"Provider: Hong Kong Insurance Intermediaries Association Ltd, Hours: Yes"
道德及規則系列 *,N/A,N/A,"Provider: Hong Kong Insurance Intermediaries Association Ltd, Hours: Yes"
中港保險系列 *,N/A,N/A,"Provider: Hong Kong Insurance Intermediaries Association Ltd, Hours: Yes"
Financial Planning Development Program (FPDP): Module 4 – Comprehensive Financial Planning,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Regulation and Conduct Requirements for MPF Intermediaries 強積金中介人 - 規管及操守要求,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Leader Development Program - Level 3 經銷經理管理專業課程 - 階段三,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Financial Planning in Life and Death 談生論死話理財,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
"Social Media Usage in Exploring Insurance Business 玩轉社交媒體, 助力保險事業",N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Training of eMPF Platform for MPF Intermediaries *,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Health & Wealth Protection for MCV Clients 內地客戶「身、財」守護戰,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
“3S” Financial Style Training for Parents and Kids 親子理財「3S」訓練 「型」,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Leader Development Program (Level 2) 經銷經理專業管理課程 (階段二),N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Leader Development Program - Level 1 經銷經理管理專業課程 - 階段一,N/A,N/A,"Provider: Manulife (International) Limited, Hours: No"
Travel Insurance Training 旅遊保險培訓,N/A,N/A,"Provider: Prudential General Insurance Hong Kong Limited, Hours: Yes"
Foreign Domestic Helper Insurance Training 外籍家庭傭工保險培訓,N/A,N/A,"Provider: Prudential General Insurance Hong Kong Limited, Hours: Yes"
Ethics and Compliance 道德與合規,N/A,N/A,"Provider: Chong Hing Bank Limited, Hours: Yes"
Essential Selling Skills 核心銷售技巧 *,N/A,N/A,"Provider: Chong Hing Bank Limited, Hours: No"
道德及法規探討講座 *,N/A,N/A,"Provider: Professional Training Association, Hours: No"
現代理財規劃,N/A,N/A,"Provider: Professional Training Association, Hours: No"
現代理財規劃 - 實用財務計算機課程,N/A,N/A,"Provider: Professional Training Association, Hours: No"
Wealth Protection and Inheritance 資產捍衛與傳承,N/A,N/A,"Provider: Be Positive Education Centre, Hours: No"
Estate Planning 遺產規劃,N/A,N/A,"Provider: Be Positive Education Centre, Hours: No"
Retirement Planning 退休規劃,N/A,N/A,"Provider: Be Positive Education Centre, Hours: No"
Trade Credit Insurance Workshop,N/A,N/A,"Provider: Euler Hermes Hong Kong Services Limited, Hours: Yes"
"Ethics or Regulations Course – The AML, Client Privacy and Corruption Risk and Family Office Regulations 道德及規例課程 – 反洗錢、客戶私隱及貪污風險及家族辦公室的法規 *",N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours: nan"
General insurance and annuity product series 一般保險及年金產品系列 *,N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours: nan"
"Ethics or Regulations Course - Misconduct, Personal Injuries and how Chinese clients affected by China's Capital & FX Control 道德及規例課程 - 不當行為，個人傷害，以及中國資本和外匯管制對中國客戶之影响 *",N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours: nan"
"Ethics or Regulations Course - Client Privacy, Family Office Regulations and how Chinese clients affected by China’s Capital & FX Control 道德及規例課程 - 客戶私隱，家族辦公室的法規，以及中國資本和外匯管制對中國客戶之影响 *",N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours: Yes"
"Ethics or Regulations Course - Misconduct, Personal Injuries and Corruption Risk 道德及規例課程 - 不當行為，個人傷害，以及貪污風險 *",N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours: Yes"
New Agents Training Course 新入職代理人培訓課程 *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: Yes"
Parent-Child Financial Keys 親子理財全接觸,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: Yes"
Compliance and Regulatory Guideline Training 合規指引培訓,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: Yes"
Compliance and Regulatory Guideline Training (E-Learning) 合規指引培訓 (電子學習),N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: nan"
Professional Financial Planning Knowledge Series 專業理財知識系列 *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: Yes"
Financial Planning and Image building Series (E-Learning) 理財概念及個人品牌系列（電子學習） *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: nan"
Business Unit Management Series (E-Learning) 營業單位管理系列 (電子學習) *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: nan"
Client Base Exploration Series 開拓客源系列 *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: Yes"
Enhancing Sales Performance Series 提升銷售成果系列 *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: Yes"
New Agent Training (E-Learning) 新入職代理人培訓 (電子學習) *,N/A,N/A,"Provider: China Taiping Life Insurance (Hong Kong) Company Limited, Hours: nan"
保險從業員須具備的精算知識 *,N/A,N/A,"Provider: Huabo Wealth Management (Hong Kong) Company Limited, Hours: No"
Employee Benefits *,N/A,N/A,"Provider: Mercer (Hong Kong) Limited, Hours: No"
Business Conduct & Ethics,N/A,N/A,"Provider: Willis Hong Kong Limited, Hours: Yes"
Understanding Trade Credit Insurance,N/A,N/A,"Provider: Willis Hong Kong Limited, Hours: Yes"
Retirement Planning and Implication to Retirement Landscape in Hong Kong,N/A,N/A,"Provider: Willis Hong Kong Limited, Hours: Yes"
保險索償（與意外、住院醫療、人壽及危疾保險相關）深造系列 *,N/A,N/A,"Provider: Greater China Corporate Trainers Association, Hours: No"
Insurance Management and Legal Studies Series *,N/A,N/A,"Provider: Vista Academy Co Limited, Hours: Yes"
Personal Lines and SME Insurance Series *,N/A,N/A,"Provider: Vista Academy Co Limited, Hours: Yes"
Ethics or Regulations series *,N/A,N/A,"Provider: Vista Academy Co Limited, Hours: Yes"
Financial Planning for Later Stages of Life 人生後期階段的財務策劃 *,N/A,N/A,"Provider: Hin Wick Business Services Limited, Hours: No"
Anti-Money Laundering and Counter-Terrorist Financing Training,N/A,N/A,"Provider: Asia Insurance Co Ltd, Hours: No"
Internal Control Training & Risk and Control Self-Assessment Workshop,N/A,N/A,"Provider: Asia Insurance Co Ltd, Hours: No"
"Knowledge on Consolidation, MPF Updates and Asset Liability Management *",N/A,N/A,"Provider: Lockton Companies (Hong Kong) Limited, Hours: No"
"Trade Credit insurance, Business Interruption and Business Continuity Management *",N/A,N/A,"Provider: Lockton Companies (Hong Kong) Limited, Hours: Yes"
Fundamental of Insurance and Enterprise Risk Management Essentials *,N/A,N/A,"Provider: Lockton Companies (Hong Kong) Limited, Hours: Yes"
Integrated Skills Development: From Presentation to Industry Expertise *,N/A,N/A,"Provider: Lockton Companies (Hong Kong) Limited, Hours: Yes"
"Enterprise Essentials: MPF, Risk & Stakeholder Communication *",N/A,N/A,"Provider: Lockton Companies (Hong Kong) Limited, Hours: Yes"
Family Wealth Planning Series 1 家庭財富規劃系列(一) *,N/A,N/A,"Provider: Family Financial Education Institute, Hours: Yes"
Personal Investment Planning Series 個人投資規劃系列 *,N/A,N/A,"Provider: Family Financial Education Institute, Hours: Yes"
Ethics & Regulations Training for Financial Advisors 理財顧問道德及規例培訓 *,N/A,N/A,"Provider: Family Financial Education Institute, Hours: Yes"
Wealth Appreciation & Risk Management 財富增值及風險管理 *,N/A,N/A,"Provider: Family Financial Education Institute, Hours: Yes"
Product Distribution & Insurtech Series 產品分銷及保險科技系列 *,N/A,N/A,"Provider: Itech (Asia) Company Limited, Hours: Yes"
"Financial management, insurance products and code of conduct series 財務策劃，保險產品及操守守則系列 *",N/A,N/A,"Provider: Itech (Asia) Company Limited, Hours: Yes"
Compliance & legal series 合規及法規系列 *,N/A,N/A,"Provider: Itech (Asia) Company Limited, Hours: Yes"
Product Distribution & Insurtech Series (E-learning) 產品分銷及保險科技系列 (線上學習) *,N/A,N/A,"Provider: Itech (Asia) Company Limited, Hours: nan"
Overview of Captive 自保管理篇 *,N/A,N/A,"Provider: Itech (Asia) Company Limited, Hours: Yes"
Financial Crime Risk Management 金融犯罪風險管理,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Mandatory Provident Fund (MPF) Schemes Examination Intensive Course 強制性公積金計劃考試精讀班,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
The challenge of Social Selling and how to apply it in the Insurance Industry,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Medical Claim 醫療索償,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
Insurance Product Series 保險產品系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Real Estate Investment 物業投資,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
Selling Skills Series 銷售技巧系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
Retirement Planning 無憂退休,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
Technology Series 科技系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Investment Series 投資系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Compliance Series 法規系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Ethics or Regulations Series 道德或規例系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: nan"
Investment Series 1 投資系列 1 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
Investment Series 2 投資系列 2 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours: Yes"
